nama,daerah,provinsi,pulau,bahan_utama,metode_memasak,tingkat_kepedasan,kategori_diet,deskripsi
Rendang,Padang,Sumatera Barat,Sumatera,Daging Sapi,Dimasak lambat (slow-cook),Pedas,Non-Vegetarian,"Daging sapi dimasak perlahan dalam santan dan rempah-rempah hingga kering dan berwarna coklat gelap. Salah satu masakan terlezat di dunia versi CNN."
Soto Padang,Padang,Sumatera Barat,Sumatera,Daging Sapi,Direbus,Sedang,Non-Vegetarian,"Sup bening dengan daging sapi goreng renyah, soun, dan perkedel kentang. Kuah kaldu sapi yang gurih dengan rempah khas Minang."
Gulai Ikan,Padang,Sumatera Barat,Sumatera,Ikan,Dimasak dengan santan,Pedas,Non-Vegetarian,"Ikan dimasak dalam kuah santan kuning kaya rempah seperti kunyit, serai, dan daun jeruk. Hidangan khas Minangkabau."
Pempek,Palembang,Sumatera Selatan,Sumatera,Ikan Tenggiri,Digoreng / Direbus,Tidak Pedas,Non-Vegetarian,"Olahan ikan tenggiri yang dibentuk lalu direbus dan digoreng. Disajikan dengan kuah cuko manis pedas asam yang khas."
Tekwan,Palembang,Sumatera Selatan,Sumatera,Ikan Tenggiri,Direbus,Tidak Pedas,Non-Vegetarian,"Bola-bola ikan dalam sup bening dengan soun, jamur kuping, dan bengkuang. Versi sup dari pempek Palembang."
Mie Celor,Palembang,Sumatera Selatan,Sumatera,Udang,Direbus,Tidak Pedas,Non-Vegetarian,"Mie kuning dalam kuah santan udang yang kental dan gurih. Ditaburi telur rebus dan tauge, khas sarapan Palembang."
Bika Ambon,Medan,Sumatera Utara,Sumatera,Tepung Sagu,Dipanggang,Tidak Pedas,Vegetarian,"Kue berpori kuning dari tepung sagu, telur, dan santan. Meski bernama Ambon, kue ini justru terkenal dari Medan."
Soto Medan,Medan,Sumatera Utara,Sumatera,Ayam / Daging Sapi,Direbus,Sedang,Non-Vegetarian,"Soto berkuah santan kuning dengan daging ayam atau sapi. Kaya rempah dengan tambahan perkedel dan sambal khas Medan."
Arsik,Tapanuli,Sumatera Utara,Sumatera,Ikan Mas,Dimasak dengan bumbu,Pedas,Non-Vegetarian,"Ikan mas dimasak dengan andaliman (merica Batak), asam cikala, dan rempah khas Batak. Kuah berwarna kuning pekat."
Saksang,Tapanuli,Sumatera Utara,Sumatera,Daging Babi / Anjing,Dimasak dengan darah,Pedas,Non-Vegetarian,"Masakan adat Batak dari daging yang dimasak bersama darah dan rempah termasuk andaliman. Hidangan upacara tradisional."
